w,x,chain,latitude,longitude
11800,25000,Loran9960,NA,NA
11810,25000,Loran9960,NA,NA
11820,25000,Loran9960,NA,NA
11830,25000,Loran9960,NA,NA
11840,25000,Loran9960,NA,NA
11850,25000,Loran9960,NA,NA
11860,25000,Loran9960,NA,NA
11870,25000,Loran9960,NA,NA
11880,25000,Loran9960,NA,NA
11890,25000,Loran9960,NA,NA
11900,25000,Loran9960,NA,NA
11910,25000,Loran9960,NA,NA
11920,25000,Loran9960,NA,NA
11930,25000,Loran9960,NA,NA
11940,25000,Loran9960,NA,NA
11950,25000,Loran9960,NA,NA
11960,25000,Loran9960,NA,NA
11970,25000,Loran9960,NA,NA
11980,25000,Loran9960,NA,NA
11990,25000,Loran9960,NA,NA
12000,25000,Loran9960,NA,NA
12010,25000,Loran9960,NA,NA
12020,25000,Loran9960,NA,NA
12030,25000,Loran9960,NA,NA
12040,25000,Loran9960,NA,NA
12050,25000,Loran9960,NA,NA
12060,25000,Loran9960,NA,NA
12070,25000,Loran9960,NA,NA
12080,25000,Loran9960,NA,NA
12090,25000,Loran9960,NA,NA
12100,25000,Loran9960,NA,NA
12110,25000,Loran9960,NA,NA
12120,25000,Loran9960,NA,NA
12130,25000,Loran9960,NA,NA
12140,25000,Loran9960,NA,NA
12150,25000,Loran9960,NA,NA
12160,25000,Loran9960,NA,NA
12170,25000,Loran9960,NA,NA
12180,25000,Loran9960,NA,NA
12190,25000,Loran9960,NA,NA
12200,25000,Loran9960,NA,NA
12210,25000,Loran9960,NA,NA
12220,25000,Loran9960,NA,NA
12230,25000,Loran9960,NA,NA
12240,25000,Loran9960,NA,NA
12250,25000,Loran9960,NA,NA
12260,25000,Loran9960,NA,NA
12270,25000,Loran9960,NA,NA
12280,25000,Loran9960,NA,NA
12290,25000,Loran9960,NA,NA
12300,25000,Loran9960,NA,NA
12310,25000,Loran9960,NA,NA
12320,25000,Loran9960,NA,NA
12330,25000,Loran9960,NA,NA
12340,25000,Loran9960,NA,NA
12350,25000,Loran9960,NA,NA
12360,25000,Loran9960,NA,NA
12370,25000,Loran9960,NA,NA
12380,25000,Loran9960,NA,NA
12390,25000,Loran9960,NA,NA
12400,25000,Loran9960,NA,NA
12410,25000,Loran9960,NA,NA
12420,25000,Loran9960,NA,NA
12430,25000,Loran9960,NA,NA
12440,25000,Loran9960,NA,NA
12450,25000,Loran9960,NA,NA
12460,25000,Loran9960,NA,NA
12470,25000,Loran9960,NA,NA
12480,25000,Loran9960,NA,NA
12490,25000,Loran9960,NA,NA
12500,25000,Loran9960,NA,NA
12510,25000,Loran9960,NA,NA
12520,25000,Loran9960,NA,NA
12530,25000,Loran9960,NA,NA
12540,25000,Loran9960,NA,NA
12550,25000,Loran9960,NA,NA
12560,25000,Loran9960,NA,NA
12570,25000,Loran9960,NA,NA
12580,25000,Loran9960,NA,NA
12590,25000,Loran9960,NA,NA
12600,25000,Loran9960,NA,NA
12610,25000,Loran9960,NA,NA
12620,25000,Loran9960,NA,NA
12630,25000,Loran9960,NA,NA
12640,25000,Loran9960,NA,NA
12650,25000,Loran9960,NA,NA
12660,25000,Loran9960,NA,NA
12670,25000,Loran9960,NA,NA
12680,25000,Loran9960,NA,NA
12690,25000,Loran9960,NA,NA
12700,25000,Loran9960,NA,NA
12710,25000,Loran9960,NA,NA
12720,25000,Loran9960,NA,NA
12730,25000,Loran9960,NA,NA
12740,25000,Loran9960,NA,NA
12750,25000,Loran9960,NA,NA
12760,25000,Loran9960,NA,NA
12770,25000,Loran9960,NA,NA
12780,25000,Loran9960,NA,NA
12790,25000,Loran9960,NA,NA
12800,25000,Loran9960,NA,NA
12810,25000,Loran9960,NA,NA
12820,25000,Loran9960,NA,NA
12830,25000,Loran9960,NA,NA
12840,25000,Loran9960,NA,NA
12850,25000,Loran9960,NA,NA
12860,25000,Loran9960,NA,NA
12870,25000,Loran9960,NA,NA
12880,25000,Loran9960,NA,NA
12890,25000,Loran9960,NA,NA
12900,25000,Loran9960,NA,NA
12910,25000,Loran9960,NA,NA
12920,25000,Loran9960,NA,NA
12930,25000,Loran9960,NA,NA
12940,25000,Loran9960,NA,NA
12950,25000,Loran9960,NA,NA
12960,25000,Loran9960,NA,NA
12970,25000,Loran9960,NA,NA
12980,25000,Loran9960,NA,NA
12990,25000,Loran9960,NA,NA
13000,25000,Loran9960,NA,NA
13010,25000,Loran9960,NA,NA
13020,25000,Loran9960,NA,NA
13030,25000,Loran9960,NA,NA
