w,x,chain,latitude,longitude
13180,25220,Loran9960,42.23333,68.40167
13190,25220,Loran9960,42.22833,68.43
13200,25220,Loran9960,42.22167,68.45667
13210,25220,Loran9960,42.2,68.485
13220,25220,Loran9960,42.21,68.51167
13230,25220,Loran9960,42.20333,68.53833
13240,25220,Loran9960,42.19833,68.565
13250,25220,Loran9960,42.19167,68.59333
13260,25220,Loran9960,42.185,68.61833
13270,25220,Loran9960,42.18,68.64667
13280,25220,Loran9960,42.17333,68.67167
13290,25220,Loran9960,42.16667,68.69833
13300,25220,Loran9960,42.16167,68.725
13310,25220,Loran9960,42.155,68.75167
13320,25220,Loran9960,42.14833,68.77667
13330,25220,Loran9960,42.14167,68.80333
13340,25220,Loran9960,42.135,68.83
13350,25220,Loran9960,42.13,68.855
13360,25220,Loran9960,42.12333,68.88
13370,25220,Loran9960,42.1,68.905
13380,25220,Loran9960,42.11,68.93167
13390,25220,Loran9960,42.10333,68.95667
13400,25220,Loran9960,42.09667,68.98167
13410,25220,Loran9960,42.09,69.00667
13420,25220,Loran9960,42.06667,69.03167
13430,25220,Loran9960,42.07667,69.05667
13440,25220,Loran9960,42.06833,69.08167
13450,25220,Loran9960,42.06167,69.10667
13460,25220,Loran9960,42.055,69.13
13470,25220,Loran9960,42.04833,69.155
13480,25220,Loran9960,42.04167,69.18
13490,25220,Loran9960,42.03333,69.20333
13500,25220,Loran9960,42.02667,69.22833
13510,25220,Loran9960,42.01833,69.25167
13520,25220,Loran9960,42.01167,69.27667
13530,25220,Loran9960,42.00333,69.28333
13540,25220,Loran9960,41.99667,69.32333
13550,25220,Loran9960,41.98833,69.34667
13560,25220,Loran9960,41.98167,69.37
13570,25220,Loran9960,41.97333,69.39333
13580,25220,Loran9960,41.965,69.41667
13590,25220,Loran9960,41.95833,69.44
13600,25220,Loran9960,41.93333,69.46333
13610,25220,Loran9960,41.94167,69.48667
13620,25220,Loran9960,41.93333,69.51
13630,25220,Loran9960,41.925,69.53167
13640,25220,Loran9960,41.91667,69.555
