w,y,chain,latitude,longitude
13730,44335,Loran9960,42.665,70.45333
13740,44335,Loran9960,42.65833,70.475
13750,44335,Loran9960,42.65,70.495
13760,44335,Loran9960,42.64333,70.515
13770,44335,Loran9960,42.63667,70.535
13780,44335,Loran9960,42.63,70.555
13790,44335,Loran9960,42.62167,70.57667
13800,44335,Loran9960,42.615,70.59667
13810,44335,Loran9960,42.60833,70.61667
13820,44335,Loran9960,42.60167,70.63667
13830,44335,Loran9960,42.595,70.65667
13840,44335,Loran9960,42.58667,70.67833
13850,44335,Loran9960,42.58,70.69833
13860,44335,Loran9960,42.57333,70.71833
13870,44335,Loran9960,42.55,70.73833
13880,44335,Loran9960,42.56,70.75833
13890,44335,Loran9960,42.55167,70.77833
13900,44335,Loran9960,42.545,70.798330000000007
13910,44335,Loran9960,42.53833,70.81833
13920,44335,Loran9960,42.53167,70.83833
13930,44335,Loran9960,42.525,70.86
13940,44335,Loran9960,42.51667,70.88
13950,44335,Loran9960,42.51,70.88333
13960,44335,Loran9960,42.50333,70.92
13970,44335,Loran9960,42.49667,70.94
13980,44335,Loran9960,42.49,70.96
13990,44335,Loran9960,42.48167,70.98
14000,44335,Loran9960,42.475,71
11800,44340,Loran9960,44.37333,65.63
11810,44340,Loran9960,44.36,65.67
11820,44340,Loran9960,44.345,65.71
11830,44340,Loran9960,44.33167,65.75
11840,44340,Loran9960,44.31833,65.79
11850,44340,Loran9960,44.305,65.82833
11860,44340,Loran9960,44.29167,65.86667
11870,44340,Loran9960,44.28,65.905
11880,44340,Loran9960,44.25,65.94333
11890,44340,Loran9960,44.25333,65.98
11900,44340,Loran9960,44.24167,66.01667
11910,44340,Loran9960,44.22833,66.05333
11920,44340,Loran9960,44.2,66.09
11930,44340,Loran9960,44.20333,66.125
11940,44340,Loran9960,44.19167,66.16
11950,44340,Loran9960,44.18,66.195
11960,44340,Loran9960,44.16833,66.23
11970,44340,Loran9960,44.155,66.26333
11980,44340,Loran9960,44.145,66.298330000000007
11990,44340,Loran9960,44.13167,66.33167
12000,44340,Loran9960,44.12,66.365
12010,44340,Loran9960,44.11,66.39833
12020,44340,Loran9960,44.09833,66.43167
12030,44340,Loran9960,44.08667,66.46333
12040,44340,Loran9960,44.07667,66.49667
12050,44340,Loran9960,44.065,66.52833
