w,y,chain,latitude,longitude
11800,44000,Loran9960,43.50833,-62.835
11810,44000,Loran9960,43.49167,-62.91
11820,44000,Loran9960,43.47667,-62.96667
11830,44000,Loran9960,43.46,-63.055
11840,44000,Loran9960,43.445,-63.12667
11850,44000,Loran9960,43.43,-63.19667
11860,44000,Loran9960,43.41333,-63.265
11870,44000,Loran9960,43.39833,-63.33167
11880,44000,Loran9960,43.385,-63.39833
11890,44000,Loran9960,43.37,-63.46333
11900,44000,Loran9960,43.355,-63.52833
11910,44000,Loran9960,43.34167,-63.59167
11920,44000,Loran9960,43.32833,-63.65333
11930,44000,Loran9960,43.31333,-63.715
11940,44000,Loran9960,43.3,-63.77667
11950,44000,Loran9960,43.28667,-63.83667
11960,44000,Loran9960,43.27333,-63.895
11970,44000,Loran9960,43.26,-63.95333
11980,44000,Loran9960,43.24667,-64.01167
11990,44000,Loran9960,43.235,-64.06833
12000,44000,Loran9960,43.22167,-64.12333
12010,44000,Loran9960,43.20833,-64.17833
12020,44000,Loran9960,43.19667,-64.23333
12030,44000,Loran9960,43.185,-64.28667
12040,44000,Loran9960,43.17167,-64.34
12050,44000,Loran9960,43.16,-64.39333
12060,44000,Loran9960,43.14833,-64.445
12070,44000,Loran9960,43.13667,-64.49667
12080,44000,Loran9960,43.125,-64.54667
12090,44000,Loran9960,43.11333,-64.59667
12100,44000,Loran9960,43.10167,-64.64667
12110,44000,Loran9960,43.09,-64.69667
12120,44000,Loran9960,43.08,-64.745
12130,44000,Loran9960,43.06833,-64.79333
12140,44000,Loran9960,43.05667,-64.84
12150,44000,Loran9960,43.04667,-64.88667
12160,44000,Loran9960,43.035,-64.93333
12170,44000,Loran9960,43.025,-64.98
12180,44000,Loran9960,43.01333,-65.02667
12190,44000,Loran9960,43.00333,-65.07167
12200,44000,Loran9960,42.99333,-65.115
12210,44000,Loran9960,42.98167,-65.16
12220,44000,Loran9960,42.97167,-65.205
12230,44000,Loran9960,42.96167,-65.24833
12240,44000,Loran9960,42.95167,-65.29167
12250,44000,Loran9960,42.94167,-65.33333
12260,44000,Loran9960,42.93167,-65.37667
12270,44000,Loran9960,42.92167,-65.41833
12280,44000,Loran9960,42.91167,-65.46
12290,44000,Loran9960,42.90167,-65.50167
12300,44000,Loran9960,42.89333,-65.54333
12310,44000,Loran9960,42.86667,-65.58333
12320,44000,Loran9960,42.87333,-65.62333
12330,44000,Loran9960,42.86333,-65.66333
12340,44000,Loran9960,42.855,-65.70333
12350,44000,Loran9960,42.845,-65.74333
12360,44000,Loran9960,42.835,-65.78167
12370,44000,Loran9960,42.82667,-65.82167
12380,44000,Loran9960,42.81667,-65.86
12390,44000,Loran9960,42.80833,-65.89833
12400,44000,Loran9960,42.79833,-65.93667
12410,44000,Loran9960,42.79,-65.97333
12420,44000,Loran9960,42.78167,-66.01167
12430,44000,Loran9960,42.77167,-66.048330000000007
12440,44000,Loran9960,42.76333,-66.085
12450,44000,Loran9960,42.755,-66.12167
12460,44000,Loran9960,42.74667,-66.16
12470,44000,Loran9960,42.73667,-66.195
12480,44000,Loran9960,42.72833,-66.23167
12490,44000,Loran9960,42.72,-66.26667
12500,44000,Loran9960,42.71167,-66.30333
12510,44000,Loran9960,42.70333,-66.33833
12520,44000,Loran9960,42.695,-66.37333
12530,44000,Loran9960,42.685,-66.40833
